POINT_1_STREET,DURATION_IN_SEC,POINT_1_NAME,POINT_1_CITY,POINT_2_NAME,POINT_2_LNG,POINT_2_STREET,NDT_IN_KMH,POINT_2_POSTAL_CODE,POINT_2_COUNTRY,POINT_1_STREET_NUMBER,ORGANISATION,POINT_1_LAT,POINT_2_LAT,POINT_1_POSTAL_CODE,POINT_2_STREET_NUMBER,POINT_2_CITY,extID,ROAD_TYPE,POINT_1_LNG,REPORT_ID,POINT_1_COUNTRY,DISTANCE_IN_METERS,REPORT_NAME,RBA_ID,_id
Ravnsbjergvej,91,4552,Aarhus,4334,10.148131067458962,Ringvej Syd,32,8260,Denmark,0,COWI,56.124304277059785,56.11814500000001,8260,0,Aarhus,487,MAJOR_ROAD,10.141663381614649,197734,Denmark,813,AAR_BT_0407 4552 4334,229439,1894
Christian X's Vej,124,4563,Højbjerg,4550,10.153642402446735,Christian X's Vej,40,8270,Denmark,169,COWI,56.12004117576438,56.110288211786354,8270,169,Højbjerg,500,MAJOR_ROAD,10.167441665012348,198085,Denmark,1383,AAR_BT_0420 4563 4550,229465,1907
Jyllands Alle,100,4553,Aarhus,4563,10.167441665012348,Christian X's Vej,35,8270,Denmark,158,COWI,56.12437832738177,56.12004117576438,8260,169,Højbjerg,504,MAJOR_ROAD,10.180056017196648,198193,Denmark,965,AAR_BT_0424 4553 4563,229473,1911
Skanderborgvej,84,4559,Aarhus,4552,10.141663381614649,Ravnsbjergvej,35,8260,Denmark,0,COWI,56.11906158966682,56.124304277059785,8260,0,Aarhus,532,MAJOR_ROAD,10.143036390212956,201775,Denmark,806,AAR_BT_0452 4559 4552,229529,1939
,75,3979,Aarhus,3197,10.186944694442786,Søndre Ringgade,27,8000,Denmark,0,COWI,56.141835968071454,56.1457221852484,8000,52,Aarhus,572,MAJOR_ROAD,10.192906038028696,206051,Denmark,569,AAR_BT_0492 3979 3197,229609,1979
Spanien,42,3189,Aarhus,3190,10.208600965029746,Strandvejen,40,8000,Denmark,63,COWI,56.14892750591274,56.14472622987757,8000,36,Aarhus,205,MAJOR_ROAD,10.209599775463175,178983,Denmark,472,AAR_BT_0112 3189 3190,180141,1612
Grenåvej,65,4582,Risskov,2661,10.212341355819717,Vejlby Ringvej,40,8240,Denmark,126,COWI,56.186546268439095,56.187071255964284,8240,126,Risskov,283,MAJOR_ROAD,10.218303812914883,184919,Denmark,728,AAR_BT_0190 4582 2661,186219,1690
Hasle Ringvej,75,2658,Aarhus,3983,10.182183959489976,Paludan-Müllers Vej,37,8200,Denmark,0,COWI,56.17871060412596,56.17389164456407,8200,48,Aarhus,293,MAJOR_ROAD,10.184485323907893,185184,Denmark,779,AAR_BT_0200 2658 3983,186239,1700
Viborgvej,54,3159,Aarhus,2656,10.161823402446771,Hasle Ringvej,44,8210,Denmark,209,COWI,56.17262995803033,56.17304495205962,8210,36,Aarhus,298,MAJOR_ROAD,10.153436152114864,185316,Denmark,665,AAR_BT_0205 3159 2656,186249,1705
Åby Ringvej,75,2655,Aarhus,3159,10.153508571758266,Viborgvej,35,8210,Denmark,0,COWI,56.167867187555736,56.17267848588397,8210,209,Aarhus,301,MAJOR_ROAD,10.1515794551907,185396,Denmark,739,AAR_BT_0208 2655 3159,186255,1708
Silkeborgvej,124,3199,Aarhus,2654,10.143520804893456,Åby Ringvej,46,8230,Denmark,303,COWI,56.154610138216704,56.16018043015113,8230,303,Aarhus,308,MAJOR_ROAD,10.157440224536913,187085,Denmark,1578,AAR_BT_0215 3199 2654,189670,1715
Oddervej,86,4372,Højbjerg,4379,10.207854230653766,Oddervej,45,8270,Denmark,172,COWI,56.105069529457616,56.114487000000004,8270,70-74,Højbjerg,522,MAJOR_ROAD,10.206927436840033,201507,Denmark,1074,AAR_BT_0442 4372 4379,229509,1929
Søndre Ringgade,147,3197,Aarhus,4554,10.189857330024779,Jyllands Alle,33,8000,Denmark,63,COWI,56.14563850929,56.13458495857738,8000,63,Aarhus,589,MAJOR_ROAD,10.186762304229774,206502,Denmark,1335,AAR_BT_0509 3197 4554,229643,1996
Søftenvej,46,4350,Aarhus,4349,10.161186577298167,Søftenvej,81,8200,Denmark,0,COWI,56.20417258212644,56.20869704245814,8200,0,Aarhus,181,MAJOR_ROAD,10.175406949737521,158954,Denmark,1030,AAR_BT_0022 4350 4349,161140,1588
Grenåvej,31,3181,Risskov,4582,10.218303812914883,Grenåvej,47,8240,Denmark,105,COWI,56.18290049276627,56.186546268439095,8240,126,Risskov,196,MAJOR_ROAD,10.217978235616556,178739,Denmark,406,AAR_BT_0103 3181 4582,180123,1603
Jyllands Alle,84,4553,Aarhus,4548,10.187329678573633,Jyllands Alle,35,8270,Denmark,158,COWI,56.12437832738177,56.12994000000001,8260,105,Højbjerg,505,MAJOR_ROAD,10.180056017196648,198221,Denmark,825,AAR_BT_0425 4553 4548,229475,1912
Genvejen,159,4549,Hasselager,4561,10.114700495700845,Møllebakken,66,8361,Denmark,0,COWI,56.11996007421442,56.10806431410453,8361,60,Hasselager,527,MAJOR_ROAD,10.083678288360602,201643,Denmark,2915,AAR_BT_0447 4549 4561,229519,1934
Genvejen,165,4549,Hasselager,4562,10.122408752149568,Møllebakken,64,8361,Denmark,0,COWI,56.11996007421442,56.110590119560015,8361,15,Hasselager,529,MAJOR_ROAD,10.083678288360602,201696,Denmark,2949,AAR_BT_0449 4549 4562,229523,1936
Møllebakken,155,4562,Hasselager,4549,10.083678288360602,Genvejen,68,8361,Denmark,15,COWI,56.11067162844458,56.11996007421442,8361,15,Hasselager,530,MAJOR_ROAD,10.12228671163939,201722,Denmark,2911,AAR_BT_0450 4562 4549,229525,1937
Ravnsbjergvej,82,4552,Aarhus,4559,10.142859364417973,Skanderborgvej,34,8260,Denmark,0,COWI,56.124304277059785,56.11919616177176,8260,0,Aarhus,531,MAJOR_ROAD,10.141663381614649,201749,Denmark,777,AAR_BT_0451 4552 4559,229527,1938
Rosenvangs Alle,165,4556,Aarhus,3987,10.166163050262412,Skanderborgvej,29,8260,Denmark,30,COWI,56.13417989322382,56.131053962866226,8260,168,Aarhus,547,MAJOR_ROAD,10.17948788343233,203716,Denmark,1326,AAR_BT_0467 4556 3987,229559,1954
Marselis Boulevard,49,3989,Aarhus,3979,10.192906038028696,Marselis Boulevard,36,8000,Denmark,50,COWI,56.1407940671622,56.141835968071454,8000,50,Aarhus,576,MAJOR_ROAD,10.198852845403735,206157,Denmark,488,AAR_BT_0496 3989 3979,229617,1983
Vestre Ringgade,69,3193,Aarhus,3192,10.194526468751974,Vestre Ringgade,42,8000,Denmark,53,COWI,56.16389697427008,56.16929516572502,8210,210,Aarhus,238,MAJOR_ROAD,10.18616224669654,180952,Denmark,801,AAR_BT_0145 3193 3192,182224,1645
Søren Frichs Vej,108,3984,Aarhus,3985,10.17614185152047,Søren Frichs Vej,41,8000,Denmark,80,COWI,56.14774074192765,56.151949698562795,8230,39,Århus C,277,MAJOR_ROAD,10.158060728836062,184758,Denmark,1222,AAR_BT_0184 3984 3985,186207,1684
Nordre Ringgade,86,3183,Aarhus,3152,10.20690854480938,Nørrebrogade,31,8000,Denmark,64B,COWI,56.17243586196818,56.16813760017301,8200,45,Aarhus,329,MAJOR_ROAD,10.209219127208598,187642,Denmark,730,AAR_BT_0236 3183 3152,189712,1736
Randersvej,72,3977,Aarhus Municipality,3191,10.201380373016264,Nordre Ringgade,35,8000,Denmark,51,COWI,56.176038754874654,56.17122707649042,8200,3,Aarhus,332,MAJOR_ROAD,10.201616660049467,187721,Denmark,700,AAR_BT_0239 3977 3191,189718,1739
Grenåvej,57,4572,Risskov,4567,10.241989084655756,Grenåvej,56,8240,Denmark,0,COWI,56.19765179702361,56.20043625463636,8240,0,Risskov,382,MAJOR_ROAD,10.228639215938529,190717,Denmark,883,AAR_BT_0290 4572 4567,192390,1789
Paludan-Müllers Vej,95,4363,Aarhus,2657,10.171526038028787,Hasle Ringvej,33,8210,Denmark,231,COWI,56.179322409643085,56.17505006362324,8200,231,Aarhus,449,MAJOR_ROAD,10.175338207340246,195392,Denmark,870,AAR_BT_0369 4363 2657,229182,1856
Hasle Ringvej,84,2656,Aarhus,4338,10.149547918402732,Jernaldervej,41,8210,Denmark,27,COWI,56.17312782176926,56.170886798880105,8210,7A,Aarhus,452,MAJOR_ROAD,10.161757688325906,195472,Denmark,955,AAR_BT_0372 2656 4338,229188,1859
Hestagervej,91,4344,Aarhus,4343,10.087895233135214,Silkeborgvej,44,8220,Denmark,0,COWI,56.15457258895634,56.15286327729632,8220,699,Aarhus,475,MAJOR_ROAD,10.072391914016862,197408,Denmark,1117,AAR_BT_0395 4344 4343,229234,1882
Strandvejen,49,3190,Aarhus,3189,10.209599775463175,Spanien,35,8000,Denmark,36,COWI,56.144719132186395,56.14892750591274,8000,63,Aarhus,206,MAJOR_ROAD,10.20872971106246,179009,Denmark,473,AAR_BT_0113 3190 3189,180143,1613
Hasle Ringvej,50,2656,Aarhus,3159,10.153508571758266,Viborgvej,46,8210,Denmark,27,COWI,56.17312782176926,56.17267848588397,8210,209,Aarhus,297,MAJOR_ROAD,10.161757688325906,185290,Denmark,640,AAR_BT_0204 2656 3159,186247,1704
Grenåvej,66,4581,Risskov,4564,10.216251775463206,Vejlby Centervej,30,8240,Denmark,0,COWI,56.19369241581476,56.196878435033454,8240,7,Risskov,416,MAJOR_ROAD,10.21908612268453,193079,Denmark,543,AAR_BT_0336 4581 4564,229116,1823
Jernaldervej,60,4338,Aarhus,2655,10.151387677246134,Åby Ringvej,31,8210,Denmark,7A,COWI,56.170886798880105,56.16798814878688,8210,7A,Aarhus,453,MAJOR_ROAD,10.149547918402732,195499,Denmark,515,AAR_BT_0373 4338 2655,229190,1860
Edwin Rahrs Vej,121,4328,Aarhus,4344,10.072391914016862,Hestagervej,30,8220,Denmark,0,COWI,56.15966870893221,56.15457258895634,8220,0,Aarhus,472,MAJOR_ROAD,10.07716983068849,197328,Denmark,1024,AAR_BT_0392 4328 4344,229228,1879
Hovedvejen,224,4551,Hasselager,4561,10.114700495700845,Møllebakken,54,8361,Denmark,0,COWI,56.100713387988804,56.10806431410453,8361,60,Hasselager,479,MAJOR_ROAD,10.062790576721227,197518,Denmark,3331,AAR_BT_0399 4551 4561,229242,1886
Møllebakken,221,4561,Hasselager,4551,10.062659148479497,Hovedvejen,54,8361,Denmark,60,COWI,56.10806431410453,56.10078220214434,8361,240,Hasselager,480,MAJOR_ROAD,10.114700495700845,197544,Denmark,3334,AAR_BT_0400 4561 4551,229425,1887
Mejlbyvej,185,4352,Ega,4327,10.246154466270468,Djurslandmotorvejen,60,8520,Denmark,58,COWI,56.22020076302727,56.22537224883195,8250,58,Lystrup,597,MAJOR_ROAD,10.267762215938546,209907,Denmark,3082,AAR_BT_0517 4352 4327,229659,2004
Vestre Ringgade,43,3192,Aarhus,3191,10.201447428241636,Nordre Ringgade,40,8000,Denmark,210,COWI,56.16929516572502,56.171122550932225,8000,210,Aarhus,236,MAJOR_ROAD,10.194526468751974,180898,Denmark,476,AAR_BT_0143 3192 3191,182220,1643
Nørreport,75,4374,Aarhus,3152,10.207060089618722,Nørrebrogade,41,8000,Denmark,18,COWI,56.16107681293822,56.16816672029917,8000,44,Aarhus,254,MAJOR_ROAD,10.2121812711639,182683,Denmark,850,AAR_BT_0161 4374 3152,183577,1661
Viborgvej,119,3157,Aarhus,3158,10.161062711639374,Viborgvej,40,8210,Denmark,47,COWI,56.162446952950255,56.169148028055325,8210,165-167,Aarhus,258,MAJOR_ROAD,10.17839594725615,182792,Denmark,1330,AAR_BT_0165 3157 3158,183585,1665
Spanien,238,3189,Aarhus,4374,10.2121812711639,Nørreport,23,8000,Denmark,63,COWI,56.14892750591274,56.16107681293822,8000,18,Aarhus,360,MAJOR_ROAD,10.209599775463175,190126,Denmark,1508,AAR_BT_0267 3189 4374,192346,1767
Marselis Boulevard,46,3990,Aarhus,4373,10.179150601188667,Skanderborgvej,40,8260,Denmark,135,COWI,56.13959744418457,56.13844851575673,8000,106,Aarhus,363,MAJOR_ROAD,10.186632644180236,190206,Denmark,509,AAR_BT_0270 3990 4373,192352,1770
Grenåvej,245,4341,Skødstrup,4357,10.293740482139583,Grenåvej,46,8250,Denmark,0,COWI,56.25625595964834,56.230013292978384,8541,503,Ega,369,MAJOR_ROAD,10.303667644180337,190367,Denmark,3104,AAR_BT_0277 4341 4357,192364,1776
Edwin Rahrs Vej,174,4328,Aarhus,4325,10.109984271163967,Edwin Rahrs Vej,45,8220,Denmark,0,COWI,56.15962240514419,56.16459887184971,8220,73-75,Aarhus,437,MAJOR_ROAD,10.077223474868788,195070,Denmark,2196,AAR_BT_0357 4328 4325,229158,1844
Edwin Rahrs Vej,89,4325,Aarhus,4330,10.125912580356612,Edwin Rahrs Vej,41,8220,Denmark,73-75,COWI,56.16459887184971,56.16254304778694,8220,42,Aarhus,439,MAJOR_ROAD,10.109984271163967,195124,Denmark,1014,AAR_BT_0359 4325 4330,229162,1846
Randersvej,49,3977,Aarhus,3154,10.19893292642405,Randersvej,37,8200,Denmark,54,COWI,56.17606861552515,56.1803125039424,8200,164,Aarhus,250,MAJOR_ROAD,10.201770887067823,181277,Denmark,504,AAR_BT_0157 3977 3154,182248,1657
Viborgvej,65,4339,Aarhus,3159,10.153436152114864,Viborgvej,60,8210,Denmark,277,COWI,56.17734056158762,56.17262995803033,8210,209,Aarhus,431,MAJOR_ROAD,10.138347076057471,194905,Denmark,1083,AAR_BT_0351 4339 3159,229146,1838
Edwin Rahrs Vej,164,4325,Aarhus,4328,10.07716983068849,Edwin Rahrs Vej,48,8220,Denmark,73-75,COWI,56.16459887184971,56.15966870893221,8220,73-75,Aarhus,438,MAJOR_ROAD,10.109984271163967,195096,Denmark,2203,AAR_BT_0358 4325 4328,229160,1845
Silkeborgvej,92,4343,Aarhus,3976,10.110953550926183,Silkeborgvej,57,8220,Denmark,699,COWI,56.15286327729632,56.15328110479527,8220,699,Aarhus,445,MAJOR_ROAD,10.087895233135214,195286,Denmark,1453,AAR_BT_0365 4343 3976,229174,1852
Hasle Ringvej,91,2657,Aarhus,4363,10.175338207340246,Paludan-Müllers Vej,36,8200,Denmark,0,COWI,56.174917180024806,56.179322409643085,8210,231,Aarhus,450,MAJOR_ROAD,10.171611868717264,195418,Denmark,908,AAR_BT_0370 2657 4363,229184,1857
Anelystvej,133,4345,Tilst,4325,10.109984271163967,Edwin Rahrs Vej,34,8220,Denmark,35,COWI,56.16716656043954,56.16459887184971,8381,73-75,Aarhus,467,MAJOR_ROAD,10.093516609210042,195870,Denmark,1261,AAR_BT_0387 4345 4325,229218,1874
Anelystvej,111,4345,Tilst,4328,10.07716983068849,Edwin Rahrs Vej,49,8220,Denmark,35,COWI,56.16716656043954,56.15966870893221,8381,35,Aarhus,469,MAJOR_ROAD,10.093516609210042,195923,Denmark,1511,AAR_BT_0389 4345 4328,229222,1876
Silkeborgvej,92,4332,Aarhus,4344,10.072890804893518,Hestagervej,39,8220,Denmark,791,COWI,56.152447520476194,56.15469209819657,8220,7,Aarhus,474,MAJOR_ROAD,10.064734635581999,197381,Denmark,993,AAR_BT_0394 4332 4344,229232,1881
Hasle Ringvej,41,2656,Aarhus,2657,10.171611868717264,Hasle Ringvej,56,8210,Denmark,36,COWI,56.17304495205962,56.174917180024806,8210,36,Aarhus,220,MAJOR_ROAD,10.161823402446771,179390,Denmark,641,AAR_BT_0127 2656 2657,180171,1627
Viborgvej,64,3157,Aarhus,3156,10.187763760747885,Viborgvej,38,8000,Denmark,47,COWI,56.162369287665825,56.159418709313904,8210,14,Aarhus,259,MAJOR_ROAD,10.178335597553314,182820,Denmark,670,AAR_BT_0166 3157 3156,183587,1666
Lystrupvej,99,4340,Risskov,4572,10.228593618385275,Grenåvej,44,8240,Denmark,42,COWI,56.205074,56.19774431284465,8240,42,Risskov,411,MAJOR_ROAD,10.236217525131224,192946,Denmark,1207,AAR_BT_0331 4340 4572,229106,1818
Vejlby Centervej,88,4564,Risskov,4572,10.228639215938529,Grenåvej,36,8240,Denmark,7,COWI,56.19677547153966,56.19765179702361,8240,7,Risskov,413,MAJOR_ROAD,10.216211542327983,193000,Denmark,872,AAR_BT_0333 4564 4572,229110,1820
Vestre Strandalle,84,4351,Risskov,4581,10.21908612268453,Grenåvej,35,8240,Denmark,70A,COWI,56.190387445286476,56.19369241581476,8240,70A,Risskov,417,MAJOR_ROAD,10.223110775463056,193106,Denmark,810,AAR_BT_0337 4351 4581,229118,1824
Grenåvej,112,4581,Risskov,4351,10.223110775463056,Vestre Strandalle,28,8240,Denmark,0,COWI,56.19371107014121,56.190387445286476,8240,70A,Risskov,418,MAJOR_ROAD,10.218878251485876,193132,Denmark,881,AAR_BT_0338 4581 4351,229120,1825
Paludan-Müllers Vej,96,4363,Aarhus,3983,10.182183959489976,Paludan-Müllers Vej,28,8200,Denmark,231,COWI,56.179322409643085,56.17389164456407,8200,48,Aarhus,421,MAJOR_ROAD,10.175338207340246,193213,Denmark,742,AAR_BT_0341 4363 3983,229126,1828
Viborgvej,68,4347,Tilst,4335,10.113531440475526,Viborgvej,59,8381,Denmark,0,COWI,56.18546282170713,56.182637286706964,8381,389,Tilst,425,MAJOR_ROAD,10.096344851520598,193322,Denmark,1111,AAR_BT_0345 4347 4335,229134,1832
Viborgvej,67,3159,Aarhus,4339,10.138403402446784,Viborgvej,58,8210,Denmark,209,COWI,56.17267848588397,56.17741297116948,8210,280,Aarhus,432,MAJOR_ROAD,10.153508571758266,194931,Denmark,1085,AAR_BT_0352 3159 4339,229148,1839
Viby Ringvej,91,2653,Aarhus,3200,10.139025504299298,Silkeborgvej,40,8220,Denmark,0,COWI,56.148242094184255,56.153267352820414,8230,521,Aarhus,309,MAJOR_ROAD,10.149874309192683,187112,Denmark,1023,AAR_BT_0216 2653 3200,189672,1716
Silkeborgvej,69,3200,Aarhus,2653,10.149694601188685,Viby Ringvej,52,8230,Denmark,521,COWI,56.153135887760996,56.148158423711955,8220,0,Aarhus,310,MAJOR_ROAD,10.139060373016491,187138,Denmark,995,AAR_BT_0217 3200 2653,189674,1717
Viby Ringvej,67,2653,Aarhus,3984,10.158060728836062,Søren Frichs Vej,35,8230,Denmark,0,COWI,56.148158423711955,56.14774074192765,8230,80,Aarhus,313,MAJOR_ROAD,10.149694601188685,187218,Denmark,653,AAR_BT_0220 2653 3984,189680,1720
Viby Ringvej,84,2652,Aarhus,3984,10.158060728836062,Søren Frichs Vej,46,8230,Denmark,104,COWI,56.14051551675728,56.14774074192765,8230,80,Aarhus,315,MAJOR_ROAD,10.154338145998054,187271,Denmark,1080,AAR_BT_0222 2652 3984,189684,1722
Grenåvej,105,3181,Risskov,3182,10.213484466270415,Nordre Ringgade,38,8200,Denmark,105,COWI,56.18290049276627,56.17405423428392,8240,98,Aarhus,325,MAJOR_ROAD,10.21780255092608,187536,Denmark,1096,AAR_BT_0232 3181 3182,189704,1732
Søndre Ringgade,96,3196,Aarhus,3985,10.17614185152047,Søren Frichs Vej,32,8000,Denmark,0,COWI,56.14984790483175,56.151949698562795,8000,39,Århus C,353,MAJOR_ROAD,10.183679466270405,189941,Denmark,857,AAR_BT_0260 3196 3985,192332,1760
Søren Frichs Vej,96,3985,Århus C,3196,10.183499758266407,Søndre Ringgade,31,8000,Denmark,39,COWI,56.151949698562795,56.149807565419565,8000,0,Aarhus,354,MAJOR_ROAD,10.17614185152047,189967,Denmark,838,AAR_BT_0261 3985 3196,192334,1761
Vejlby Ringvej,85,2661,Risskov,4351,10.223110775463056,Vestre Strandalle,32,8240,Denmark,0,COWI,56.18696229571611,56.190387445286476,8240,70A,Risskov,402,MAJOR_ROAD,10.212459373016372,192707,Denmark,763,AAR_BT_0318 2661 4351,229088,1809
Åby Ringvej,67,2654,Aarhus,2655,10.1515794551907,Åby Ringvej,54,8210,Denmark,0,COWI,56.16018043015113,56.167867187555736,8230,0,Aarhus,224,MAJOR_ROAD,10.143520804893456,180573,Denmark,1008,AAR_BT_0131 2654 2655,182196,1631
Viborgvej,50,3159,Aarhus,3158,10.161062711639374,Viborgvej,44,8210,Denmark,209,COWI,56.17262995803033,56.169148028055325,8210,165-167,Aarhus,255,MAJOR_ROAD,10.153436152114864,182712,Denmark,613,AAR_BT_0162 3159 3158,183579,1662
Viborgvej,56,3158,Aarhus,3159,10.153508571758266,Viborgvej,39,8210,Denmark,165-167,COWI,56.169148028055325,56.17267848588397,8210,209,Aarhus,256,MAJOR_ROAD,10.161062711639374,182738,Denmark,612,AAR_BT_0163 3158 3159,183581,1663
Viborgvej,70,3156,Aarhus,3157,10.17839594725615,Viborgvej,35,8210,Denmark,14,COWI,56.159418709313904,56.162446952950255,8000,47,Aarhus,260,MAJOR_ROAD,10.187763760747885,182846,Denmark,672,AAR_BT_0167 3156 3157,183589,1667
Silkeborgvej,95,3199,Aarhus,3200,10.139025504299298,Silkeborgvej,44,8220,Denmark,303,COWI,56.154610138216704,56.153267352820414,8230,521,Aarhus,268,MAJOR_ROAD,10.157440224536913,183063,Denmark,1151,AAR_BT_0175 3199 3200,183605,1675
Silkeborgvej,111,3199,Aarhus,3198,10.176133542327875,Silkeborgvej,38,8000,Denmark,303,COWI,56.154610138216704,56.15591411050229,8230,188,Aarhus,269,MAJOR_ROAD,10.157440224536913,183091,Denmark,1168,AAR_BT_0176 3199 3198,183607,1676
Silkeborgvej,115,3198,Aarhus,3199,10.157440224536913,Silkeborgvej,37,8230,Denmark,188,COWI,56.15591411050229,56.154610138216704,8000,303,Aarhus,270,MAJOR_ROAD,10.176133542327875,183117,Denmark,1168,AAR_BT_0177 3198 3199,183609,1677
Skanderborgvej,74,3986,Aarhus,3987,10.166318618385276,Skanderborgvej,38,8260,Denmark,223,COWI,56.125743621869944,56.13096577062022,8260,169,Aarhus,271,MAJOR_ROAD,10.15788067857352,184595,Denmark,787,AAR_BT_0178 3986 3987,186195,1678
Hasle Ringvej,63,2659,Aarhus,3154,10.198778699405693,Randersvej,31,8200,Denmark,138,COWI,56.181353258286634,56.18028339302693,8200,164,Aarhus,291,MAJOR_ROAD,10.192906008598356,185131,Denmark,551,AAR_BT_0198 2659 3154,186235,1698
Hasle Ringvej,66,2658,Aarhus,2657,10.171526038028787,Hasle Ringvej,49,8210,Denmark,0,COWI,56.17871060412596,56.17505006362324,8200,0,Aarhus,217,MAJOR_ROAD,10.184485323907893,179310,Denmark,906,AAR_BT_0124 2658 2657,180165,1624
Hasle Ringvej,67,2656,Aarhus,2655,10.151387677246134,Åby Ringvej,47,8210,Denmark,27,COWI,56.17312782176926,56.16798814878688,8210,27,Aarhus,221,MAJOR_ROAD,10.161757688325906,179418,Denmark,872,AAR_BT_0128 2656 2655,180173,1628
Åby Ringvej,67,2655,Aarhus,2656,10.161823402446771,Hasle Ringvej,47,8210,Denmark,36,COWI,56.167867187555736,56.17304495205962,8210,36,Aarhus,222,MAJOR_ROAD,10.1515794551907,179444,Denmark,868,AAR_BT_0129 2655 2656,180175,1629
Åby Ringvej,75,2655,Aarhus,2654,10.143257948409996,Åby Ringvej,49,8230,Denmark,0,COWI,56.16798814878688,56.1601908856982,8210,0,Aarhus,223,MAJOR_ROAD,10.151387677246134,180547,Denmark,1020,AAR_BT_0130 2655 2654,182194,1630
Vestre Ringgade,49,3194,Aarhus,3193,10.18616224669654,Vestre Ringgade,44,8210,Denmark,70,COWI,56.1589844936963,56.16389697427008,8000,53,Aarhus,240,MAJOR_ROAD,10.182944170639075,181006,Denmark,595,AAR_BT_0147 3194 3193,182228,1647
Randersvej,39,3154,Aarhus,3977,10.201616660049467,Randersvej,46,8200,Denmark,164,COWI,56.18028339302693,56.176038754874654,8200,51,Aarhus Municipality,249,MAJOR_ROAD,10.198778699405693,181251,Denmark,503,AAR_BT_0156 3154 3977,182246,1656
Viborgvej,110,3158,Aarhus,3157,10.178335597553314,Viborgvej,44,8210,Denmark,165-167,COWI,56.169148028055325,56.162369287665825,8210,47,Aarhus,257,MAJOR_ROAD,10.161062711639374,182766,Denmark,1337,AAR_BT_0164 3158 3157,183583,1664
Vejlby Ringvej,57,2660,Aarhus,3154,10.198778699405693,Randersvej,32,8200,Denmark,20,COWI,56.1833360361296,56.18028339302693,8200,164,Aarhus,287,MAJOR_ROAD,10.200700790178303,185025,Denmark,509,AAR_BT_0194 2660 3154,186227,1694
Hasle Ringvej,61,2659,Aarhus,3155,10.19604842460626,Randersvej,34,8200,Denmark,138,COWI,56.181353258286634,56.184659561973874,8200,138,Aarhus,289,MAJOR_ROAD,10.192906008598356,185078,Denmark,573,AAR_BT_0196 2659 3155,186231,1696
Søftenvej,46,4349,Aarhus,4350,10.175128,Viborgvej,81,8381,Denmark,0,COWI,56.20852026816215,56.20391,8200,143,Tilst,182,MAJOR_ROAD,10.161038385250095,158983,Denmark,1030,AAR_BT_0023 4349 4350,161167,1589
Viborgvej,31,4350,Tilst,4362,10.182238219573946,Randersvej,81,8200,Denmark,143,COWI,56.20391,56.19920218884512,8381,0,Aarhus,183,MAJOR_ROAD,10.175128,159014,Denmark,700,AAR_BT_0024 4350 4362,161215,1590
Grenåvej,84,3181,Risskov,3978,10.221176473541277,Dronning Margrethes Vej,38,8200,Denmark,105,COWI,56.18290049276627,56.17540521083046,8240,97,Aarhus,197,MAJOR_ROAD,10.21780255092608,178767,Denmark,881,AAR_BT_0104 3181 3978,180125,1604
Dronning Margrethes Vej,78,3978,Aarhus,3181,10.217978235616556,Grenåvej,40,8240,Denmark,97,COWI,56.175432085860464,56.18290049276627,8200,105,Risskov,198,MAJOR_ROAD,10.221273033065813,178793,Denmark,877,AAR_BT_0105 3978 3181,180127,1605
Dronning Margrethes Vej,99,3978,Aarhus,3186,10.218120143516558,Skovvejen,38,8000,Denmark,97,COWI,56.17540521083046,56.16631645387974,8200,67,Aarhus,199,MAJOR_ROAD,10.221176473541277,178821,Denmark,1043,AAR_BT_0106 3978 3186,180129,1606
Skovvejen,97,3186,Aarhus,3978,10.221273033065813,Dronning Margrethes Vej,39,8200,Denmark,67,COWI,56.166317200585326,56.175432085860464,8000,97,Aarhus,200,MAJOR_ROAD,10.218226090772646,178847,Denmark,1050,AAR_BT_0107 3186 3978,180131,1607
Vejlby Ringvej,57,2661,Risskov,2660,10.200700790178303,Vejlby Ringvej,53,8200,Denmark,0,COWI,56.187071255964284,56.1833360361296,8240,20,Aarhus,211,MAJOR_ROAD,10.212341355819717,179148,Denmark,832,AAR_BT_0118 2661 2660,180153,1618
,82,3979,Aarhus,3150,10.186756880950952,Skanderborgvej,25,8000,Denmark,0,COWI,56.141835968071454,56.14258759218248,8000,26,Aarhus,574,MAJOR_ROAD,10.192906038028696,206104,Denmark,559,AAR_BT_0494 3979 3150,229613,1981
Århusvej,52,4320,Hinnerup,4322,10.116589665412903,Århusvej,71,8382,Denmark,72,COWI,56.23172069428216,56.22579478256016,8382,0,Hinnerup,160,MAJOR_ROAD,10.104986076057457,158324,Denmark,1030,AAR_BT_0001 4320 4322,159103,1567
Randersvej,54,4359,Aarhus,4348,10.173023480985648,Randersvej,61,8200,Denmark,311,COWI,56.21831017223658,56.21071820426365,8200,0,Aarhus,175,MAJOR_ROAD,10.167189431877205,158776,Denmark,920,AAR_BT_0016 4359 4348,160897,1582
Randersvej,54,4348,Aarhus,4359,10.167189431877205,Randersvej,61,8200,Denmark,294,COWI,56.210756242190286,56.21831017223658,8200,311,Aarhus,176,MAJOR_ROAD,10.173161614749915,158805,Denmark,920,AAR_BT_0017 4348 4359,160926,1583
Randersvej,53,4348,Aarhus,4350,10.175128,Viborgvej,81,8381,Denmark,0,COWI,56.21071820426365,56.20391,8200,143,Tilst,177,MAJOR_ROAD,10.173023480985648,158836,Denmark,1195,AAR_BT_0018 4348 4350,160983,1584
